full_name,gender,birthdate,civil_status,address,contact_number,email,occupation
"Paul T. Bautista",female,1963-07-26,married,"840 Luna St., Purok Maligaya, Brgy. San Jose, Cagayan de Oro City",09936684897,paul.bautista77@sample.mail,Tailor
"Carmen M. Pascual",female,1993-06-27,single,"601 Mabini Ave., Purok Maligaya, Brgy. San Jose, Cagayan de Oro City",09214902067,carmen.pascual78@sample.mail,Chef
"Joy X. Salazar",male,1976-03-15,married,"454 Burgos St., Purok Maligaya, Brgy. San Jose, Cagayan de Oro City",09197107960,joy.salazar79@sample.mail,Engineer
"Liza X. Soriano",female,2003-05-20,divorced,"708 Aguinaldo St., Purok 4, Brgy. San Jose, Cagayan de Oro City",09951161336,liza.soriano80@sample.mail,Student
"Miguel T. Evangelista",female,2004-05-28,divorced,"712 Mabini Ave., Purok Maligaya, Brgy. San Jose, Cagayan de Oro City",09378588906,miguel.evangelista81@sample.mail,"Security Guard"
"Albert Z. Evangelista",male,1994-05-06,widowed,"672 Luna St., Purok 2, Brgy. San Jose, Cagayan de Oro City",09965759456,albert.evangelista82@sample.mail,Nurse
"Paul N. Ramos",female,1974-03-08,divorced,"498 Burgos St., Purok 4, Brgy. San Jose, Cagayan de Oro City",09724612174,paul.ramos83@sample.mail,Farmer
"Jenny R. Salazar",female,1990-08-23,married,"374 Burgos St., Purok 3, Brgy. San Jose, Cagayan de Oro City",09245349309,jenny.salazar84@sample.mail,Fisherman
"Carmen O. Gonzales",other,1962-01-17,divorced,"610 Aguinaldo St., Purok 2, Brgy. San Jose, Cagayan de Oro City",09979327018,carmen.gonzales85@sample.mail,"Security Guard"
"Carlo X. Domingo",male,1991-09-08,single,"198 Aguinaldo St., Purok 4, Brgy. San Jose, Cagayan de Oro City",09459631704,carlo.domingo86@sample.mail,Mechanic
"Maria T. Santos",male,1970-08-28,separated,"628 Burgos St., Purok 3, Brgy. San Jose, Cagayan de Oro City",09103609424,maria.santos87@sample.mail,Engineer
"Francis X. Martinez",male,1979-11-24,married,"112 Mabini Ave., Purok 2, Brgy. San Jose, Cagayan de Oro City",09104959674,francis.martinez88@sample.mail,Tailor
"Faith D. Villanueva",male,1978-04-04,divorced,"281 Quezon Ave., Purok 2, Brgy. San Jose, Cagayan de Oro City",09726938823,faith.villanueva89@sample.mail,Chef
"Kyle Y. Fernandez",female,1977-04-10,widowed,"873 Mabini Ave., Purok Pag-asa, Brgy. San Jose, Cagayan de Oro City",09215450928,kyle.fernandez90@sample.mail,Farmer
"Pedro N. Mendoza",male,1987-04-17,divorced,"814 Bonifacio Rd., Purok 2, Brgy. San Jose, Cagayan de Oro City",09158371276,pedro.mendoza91@sample.mail,Chef
"Kyle H. Santos",male,1969-11-18,separated,"559 Del Pilar St., Purok 1, Brgy. San Jose, Cagayan de Oro City",09951998768,kyle.santos92@sample.mail,Engineer
"Angelica G. Rivera",female,1980-03-26,separated,"263 Mabini Ave., Purok 1, Brgy. San Jose, Cagayan de Oro City",09754792895,angelica.rivera93@sample.mail,Mechanic
"Angelica Z. Fernandez",female,1996-02-04,widowed,"442 Del Pilar St., Purok Maligaya, Brgy. San Jose, Cagayan de Oro City",09232600192,angelica.fernandez94@sample.mail,Accountant
"Ana R. Cruz",female,1958-07-25,divorced,"197 Rizal St., Purok Masagana, Brgy. San Jose, Cagayan de Oro City",09746993325,ana.cruz95@sample.mail,Mechanic
"Juan T. Perez",male,1963-10-13,separated,"642 Rizal St., Purok Pag-asa, Brgy. San Jose, Cagayan de Oro City",09776116213,juan.perez96@sample.mail,Engineer
"Faith K. Santos",female,2003-02-04,married,"323 Bonifacio Rd., Purok Masagana, Brgy. San Jose, Cagayan de Oro City",09184748146,faith.santos97@sample.mail,Accountant
"Elena S. Aquino",male,1981-11-07,widowed,"93 Luna St., Purok Maligaya, Brgy. San Jose, Cagayan de Oro City",09204890811,elena.aquino98@sample.mail,Teacher
"Albert B. Flores",male,1986-11-14,widowed,"984 Bonifacio Rd., Purok 2, Brgy. San Jose, Cagayan de Oro City",09998089773,albert.flores99@sample.mail,Vendor
"Mark J. Reyes",male,1966-10-02,married,"352 Luna St., Purok 1, Brgy. San Jose, Cagayan de Oro City",09708289526,mark.reyes100@sample.mail,Engineer
